,书籍名称,频率
913,父子大学,3
914,文明之光,2
915,念你们的名字,1
916,问名,1
917,你当像鸟飞往你的山,6
918,神经外科的黑色喜剧,2
919,血疫：埃博拉的故事,1
920,小人物：我和父亲乔布斯,1
921,我们都是奥黛特,1
922,裴斐文集,1
923,高等数学,4
924,概率论,3
925,线性代数,3
926,算法导论,5
927,Calculus,1
928,Introduction to Linear Algebra,1
929,Statistic Inference,1
930,Introduction to Algorithms,1
931,Algorithm Design,1
932,异类,3
933,有限和无限的游戏,1
934,自由的伦理,1
935,七国志,2
936,贫穷的本质,2
937,千面英雄,1
938,都挺好,1
939,数据之巅：大数据革命，历史、现实与未来,1
940,中流击水——经济全球化大潮与中国之命运,2
941,人类简史：从远古到二十一世纪,2
942,中国文化的深层次结构,1
943,分析化学,3
944,改变世界的第三只苹果,1
945,亲爱的安德烈,12
946,公共事务的治理之道,1
947,公共事务治理之道,1
948,正义论,5
949,近代中国的新陈代谢,1
950,庚款留学百年,1
951,最好的告别：关于衰老与死亡，你必须知道的常识,2
952,万物有灵且美,3
953, 长腿叔叔,1
954,万物既伟大又渺小,2
955,万物既聪慧又奇妙,3
956,万物刹那又永恒,2
957,万物生光辉,3
958,长腿叔叔,3
959,马克思哲学,5
960,读者,1
961,意林,2
962,毛概,1
963,马哲,1
964,欧亨利文选,1
965,恶魔法则,3
966,天王,1
967,猎国,1
968,长生界,1
969,阳神,1
970,暗黑者,2
971,蝙蝠侠,1
972,Legal High,1
973,心理罪：城市之光,1
974,夏日走过山间,2
975,趋势红利,5
976,毛泽东文集,1
977,Crucial Conversations: Tools for Talking When Stakes Are High,2
978,乡关何处,4
979,别做梦了,1
980,天空草坡,2
981,我的青春小鸟,1
982,案情,1
983,暗恋,1
984,无题,1
985,世界末日那天,1
986,星星索,1
987,小学团体旅行,1
988,山茶文具店,5
989,人间便利店,1
990,蜗牛食堂,1
991,趁热品尝,1
992,四月女友,1
993,如父如子,1
994,如何学习,5
995,道乐吉学习方法,1
996,学习的策略,1
997,结构思考力,1
998,结构性思维,1
999,如何成为专家,1
1000,我们需要自学,1
1001,五轮书,3
1002,冬将军来的夏天,4
1003,杀鬼,1
1004,这本书让你戒烟,1
1005,我不是教你诈,4
1006,动物农场,11
1007,1Q84,10
1008,吃掉那只青蛙,1
1009,小强升职记,4
1010,好好学习,3
1011,大学之路,2
1012,霍乱,2
1013,富爸爸,3
1014,一个陌生女人的来信,16
1015,蔡康永的说话之道,3
1016,美丽新世界,20
1017,复原力,3
1018,延安整风运动的来龙去脉—红太阳是怎样升起的,1
1019,生命是长期而持续的累积,1
1020,高兴死了,3
1021,一禅小和尚,3
1022,一地鸡毛,2
1023,叔本华思想随笔,3
1024,不合时宜的思想,1
1025,棋王·树王·孩子王,1
1026,50位最伟大的心理学思想家,2
1027,天空的另一半,2
1028,人生十二法则,2
1029,我愿意舍弃一切，以想念你终此一生,2
1030,醒来觉得甚是爱你,2
1031,性史,1
1032,第二性,8
1033,一路两个人,1
1034,浮生漫谈,1
1035,戒律,3
1036,积极恋爱心理学,1
1037,谜男方法,1
1038,执迷：学会正常地爱与被爱,1
1039,流星旅行车,1
1040,萤火虫小巷,4
1041,致女儿的书,1
1042,我是你爸爸,1
1043,我是你儿子,1
1044,刀锋,14
1045,最后的歌,1
1046,1Q84（套装全3册）,1
1047,雪国,18
1048,十七世纪英国文学,1
1049,事实,2
1050,战国策,6
1051,弱传播,1
1052,经济学原理·微观经济学分册,1
1053,离骚,2
1054,简约至上:交互式设计四策略,1
1055,占有还是存在,1
1056,非理性的人,1
1057,故事课,2
1058,一本小小的红色写作书,3
1059,写作这回事,1
1060,如何有效阅读一本书：超实用笔记读书法,1
1061,但是还有书籍,1
1062,经济解释,3
1063,科学说需求,1
1064,物种起源,6
1065,一只iPhone的全球之旅,4
1066,21世纪经济报道,1
1067,一件T恤的全球之旅,1
1068,国史大纲,3
1069,白话本国史,1
1070,士与中国文化,3
1071,游民文化与中国社会,2
1072,潜规则,5
1073,游民文化于中国社会,1
1074,送你一颗子弹,6
1075,幽梦影,5
1076,解读基金：我的投资观与实践,1
